"帳票種別 Product type","サイクル区分 Cycle","年月週 Year, Month, Week","報告年月日（自）Period covered - from","報告年月日（至）Period covered - to","投資部門コード Type of Investor","数量金額区分 Volume/Value","売 Sales","売-差引 Balance","買 Purchases","買-差引 Balance","合計 Total"
"301","1","2026081","20260803","20260807","11","1",22998,-7456,15542,0,38540
"301","1","2026081","20260803","20260807","11","2",1503525515834,-491962235410,1011563280424,0,2515088796258
"301","1","2026081","20260803","20260807","21","1",32,0,295,263,327
"301","1","2026081","20260803","20260807","21","2",2115900000,0,19462390000,17346490000,21578290000
"301","1","2026081","20260803","20260807","22","1",1097,0,1866,769,2963
"301","1","2026081","20260803","20260807","22","2",71763930000,0,122541899200,50777969200,194305829200
"301","1","2026081","20260803","20260807","23","1",3794,0,4968,1174,8762
"301","1","2026081","20260803","20260807","23","2",246433655900,0,326517985450,80084329550,572951641350
"301","1","2026081","20260803","20260807","24","1",20,0,114,94,134
"301","1","2026081","20260803","20260807","24","2",1283220000,0,7255570000,5972350000,8538790000
"301","1","2026081","20260803","20260807","31","1",772,0,982,210,1754
"301","1","2026081","20260803","20260807","31","2",50209772750,0,63908219430,13698446680,114117992180
"301","1","2026081","20260803","20260807","32","1",965,-230,735,0,1700
"301","1","2026081","20260803","20260807","32","2",62475649500,-14973864700,47501784800,0,109977434300
"301","1","2026081","20260803","20260807","33","1",185,-60,125,0,310
"301","1","2026081","20260803","20260807","33","2",12069770600,-3922560600,8147210000,0,20216980600
"301","1","2026081","20260803","20260807","41","1",68,-6,62,0,130
"301","1","2026081","20260803","20260807","41","2",4448730000,-409690000,4039040000,0,8487770000
"301","1","2026081","20260803","20260807","51","1",18455,-35,18420,0,36875
"301","1","2026081","20260803","20260807","51","2",1193765594600,-3429506900,1190336087700,0,2384101682300
"301","1","2026081","20260803","20260807","60","1",165450,0,170749,5299,336199
"301","1","2026081","20260803","20260807","60","2",10680685635470,0,11030520640350,349835004880,21711206275820
"313","1","2026081","20260803","20260807","11","1",35646,0,49125,13479,84771
"313","1","2026081","20260803","20260807","11","2",231417778376,0,317481064250,86063285874,548898842626
"313","1","2026081","20260803","20260807","21","1",0,0,0,0,0
"313","1","2026081","20260803","20260807","21","2",0,0,0,0,0
"313","1","2026081","20260803","20260807","22","1",0,0,0,0,0
"313","1","2026081","20260803","20260807","22","2",0,0,0,0,0
"313","1","2026081","20260803","20260807","23","1",97,0,136,39,233
"313","1","2026081","20260803","20260807","23","2",629852850,0,873376850,243524000,1503229700
"313","1","2026081","20260803","20260807","24","1",0,0,0,0,0
"313","1","2026081","20260803","20260807","24","2",0,0,0,0,0
"313","1","2026081","20260803","20260807","31","1",855,-53,802,0,1657
"313","1","2026081","20260803","20260807","31","2",5504827056,-338468380,5166358676,0,10671185732
"313","1","2026081","20260803","20260807","32","1",16838,-32,16806,0,33644
"313","1","2026081","20260803","20260807","32","2",108522482420,-371536710,108150945710,0,216673428130
"313","1","2026081","20260803","20260807","33","1",2700,0,2738,38,5438
"313","1","2026081","20260803","20260807","33","2",17531589130,0,17771346210,239757080,35302935340
"313","1","2026081","20260803","20260807","41","1",56,0,91,35,147
