"帳票種別 Product type","サイクル区分 Cycle","年月週 Year, Month, Week","報告年月日（自）Period covered - from","報告年月日（至）Period covered - to","投資部門コード Type of Investor","数量金額区分 Volume/Value","売 Sales","売-差引 Balance","買 Purchases","買-差引 Balance","合計 Total"
"301","1","2026082","20260810","20260814","11","1",19686,-1250,18436,0,38122
"301","1","2026082","20260810","20260814","11","2",1337443407063,-83199830693,1254243576370,0,2591686983433
"301","1","2026082","20260810","20260814","21","1",66,-50,16,0,82
"301","1","2026082","20260810","20260814","21","2",4465800000,-3366770000,1099030000,0,5564830000
"301","1","2026082","20260810","20260814","22","1",1001,0,1950,949,2951
"301","1","2026082","20260810","20260814","22","2",68316590000,0,133586410000,65269820000,201903000000
"301","1","2026082","20260810","20260814","23","1",3300,-340,2960,0,6260
"301","1","2026082","20260810","20260814","23","2",224548843300,-24328619630,200220223670,0,424769066970
"301","1","2026082","20260810","20260814","24","1",11,-4,7,0,18
"301","1","2026082","20260810","20260814","24","2",745850000,-274650000,471200000,0,1217050000
"301","1","2026082","20260810","20260814","31","1",894,0,2396,1502,3290
"301","1","2026082","20260810","20260814","31","2",60835440000,0,162598516220,101763076220,223433956220
"301","1","2026082","20260810","20260814","32","1",694,-206,488,0,1182
"301","1","2026082","20260810","20260814","32","2",47101690500,-13987079700,33114610800,0,80216301300
"301","1","2026082","20260810","20260814","33","1",118,-3,115,0,233
"301","1","2026082","20260810","20260814","33","2",8009782400,-191833300,7817949100,0,15827731500
"301","1","2026082","20260810","20260814","41","1",31,0,31,0,62
"301","1","2026082","20260810","20260814","41","2",2103430000,-2660000,2100770000,0,4204200000
"301","1","2026082","20260810","20260814","51","1",12500,0,12747,247,25247
"301","1","2026082","20260810","20260814","51","2",846263845200,0,862073818200,15809973000,1708337663400
"301","1","2026082","20260810","20260814","60","1",110775,-77,110698,0,221473
"301","1","2026082","20260810","20260814","60","2",7515434519090,-6451421697,7508983097393,0,15024417616483
"313","1","2026082","20260810","20260814","11","1",75499,-12690,62809,0,138308
"313","1","2026082","20260810","20260814","11","2",511924214300,-86117476450,425806737850,0,937730952150
"313","1","2026082","20260810","20260814","21","1",0,0,0,0,0
"313","1","2026082","20260810","20260814","21","2",0,0,0,0,0
"313","1","2026082","20260810","20260814","22","1",0,0,0,0,0
"313","1","2026082","20260810","20260814","22","2",0,0,0,0,0
"313","1","2026082","20260810","20260814","23","1",76,0,94,18,170
"313","1","2026082","20260810","20260814","23","2",517745500,0,630880850,113135350,1148626350
"313","1","2026082","20260810","20260814","24","1",0,0,0,0,0
"313","1","2026082","20260810","20260814","24","2",0,0,0,0,0
"313","1","2026082","20260810","20260814","31","1",215,-42,173,0,388
"313","1","2026082","20260810","20260814","31","2",1456377500,-295556500,1160821000,0,2617198500
"313","1","2026082","20260810","20260814","32","1",13458,-738,12720,0,26178
"313","1","2026082","20260810","20260814","32","2",91355021780,-5077461200,86277560580,0,177632582360
"313","1","2026082","20260810","20260814","33","1",1466,-37,1429,0,2895
"313","1","2026082","20260810","20260814","33","2",9864847820,-238757650,9626090170,0,19490937990
"313","1","2026082","20260810","20260814","41","1",16,0,30,14,46
"313","1","2026082","20260810","20260814","41","2",109802000,0,202440000,92638000,312242000
"313","1","2026082","20260810","20260814","51","1",467024,-7408,459616,0,926640
"313","1","2026082","20260810","20260814","51","2",3161656079090,-50253986970,3111402092120,0,6273058171210
"313","1","2026082","20260810","20260814","60","1",1648235,0,1656183,7948,3304418
"313","1","2026082","20260810","20260814","60","2",11166170444302,0,11221157762902,54987318600,22387328207204
"331","1","2026082","20260810","20260814","11","1",0,0,0,0,0
"331","1","2026082","20260810","20260814","11","2",0,0,0,0,0
"331","1","2026082","20260810","20260814","21","1",0,0,0,0,0
"331","1","2026082","20260810","20260814","21","2",0,0,0,0,0
"331","1","2026082","20260810","20260814","22","1",0,0,0,0,0
"331","1","2026082","20260810","20260814","22","2",0,0,0,0,0
"331","1","2026082","20260810","20260814","23","1",0,0,0,0,0
"331","1","2026082","20260810","20260814","23","2",0,0,0,0,0
"331","1","2026082","20260810","20260814","24","1",0,0,0,0,0
"331","1","2026082","20260810","20260814","24","2",0,0,0,0,0
"331","1","2026082","20260810","20260814","31","1",0,0,0,0,0
"331","1","2026082","20260810","20260814","31","2",0,0,0,0,0
"331","1","2026082","20260810","20260814","32","1",4791,-463,4328,0,9119
"331","1","2026082","20260810","20260814","32","2",3246627350,-314984950,2931642400,0,6178269750
"331","1","2026082","20260810","20260814","33","1",1369,-42,1327,0,2696
"331","1","2026082","20260810","20260814","33","2",930076700,-27341200,902735500,0,1832812200
"331","1","2026082","20260810","20260814","41","1",0,0,0,0,0
"331","1","2026082","20260810","20260814","41","2",0,0,0,0,0
"331","1","2026082","20260810","20260814","51","1",1035496,-13633,1021863,0,2057359
"331","1","2026082","20260810","20260814","51","2",700768100500,-9200202100,691567898400,0,1392335998900
"331","1","2026082","20260810","20260814","60","1",2113764,0,2128212,14448,4241976
"331","1","2026082","20260810","20260814","60","2",1430699713700,0,1440431070200,9731356500,2871130783900
"314","1","2026082","20260810","20260814","11","1",27341,-10083,17258,0,44599
"314","1","2026082","20260810","20260814","11","2",1135419734103,-418747564980,716672169123,0,1852091903226
"314","1","2026082","20260810","20260814","21","1",93,0,112,19,205
"314","1","2026082","20260810","20260814","21","2",3888472000,0,4680105000,791633000,8568577000
"314","1","2026082","20260810","20260814","22","1",23,0,86,63,109
"314","1","2026082","20260810","20260814","22","2",962995000,0,3575235000,2612240000,4538230000
"314","1","2026082","20260810","20260814","23","1",1443,0,3458,2015,4901
"314","1","2026082","20260810","20260814","23","2",59516172500,0,142869596500,83353424000,202385769000
"314","1","2026082","20260810","20260814","24","1",58,-58,0,0,58
"314","1","2026082","20260810","20260814","24","2",2431215000,-2431215000,0,0,2431215000
"314","1","2026082","20260810","20260814","31","1",3050,-2486,564,0,3614
"314","1","2026082","20260810","20260814","31","2",125784961500,-102297751500,23487210000,0,149272171500
"314","1","2026082","20260810","20260814","32","1",253,0,294,41,547
"314","1","2026082","20260810","20260814","32","2",10447456000,0,12208372000,1760916000,22655828000
"314","1","2026082","20260810","20260814","33","1",31,0,31,0,62
"314","1","2026082","20260810","20260814","33","2",1283975000,0,1285000000,1025000,2568975000
"314","1","2026082","20260810","20260814","41","1",0,0,1,1,1
"314","1","2026082","20260810","20260814","41","2",0,0,41155000,41155000,41155000
"314","1","2026082","20260810","20260814","51","1",1648,0,2321,673,3969
"314","1","2026082","20260810","20260814","51","2",68428794000,0,96080203000,27651409000,164508997000
"314","1","2026082","20260810","20260814","60","1",178958,0,188947,9989,367905
"314","1","2026082","20260810","20260814","60","2",7426588269200,0,7840982430680,414394161480,15267570699880
"316","1","2026082","20260810","20260814","11","1",1098,0,1317,219,2415
"316","1","2026082","20260810","20260814","11","2",4560793750,0,5477970250,917176500,10038764000
"316","1","2026082","20260810","20260814","21","1",0,0,0,0,0
"316","1","2026082","20260810","20260814","21","2",0,0,0,0,0
"316","1","2026082","20260810","20260814","22","1",0,0,0,0,0
"316","1","2026082","20260810","20260814","22","2",0,0,0,0,0
"316","1","2026082","20260810","20260814","23","1",150,0,207,57,357
"316","1","2026082","20260810","20260814","23","2",622361250,0,861688250,239327000,1484049500
"316","1","2026082","20260810","20260814","24","1",0,0,0,0,0
"316","1","2026082","20260810","20260814","24","2",0,0,0,0,0
"316","1","2026082","20260810","20260814","31","1",100,0,190,90,290
"316","1","2026082","20260810","20260814","31","2",413962750,0,788423500,374460750,1202386250
"316","1","2026082","20260810","20260814","32","1",122,-3,119,0,241
"316","1","2026082","20260810","20260814","32","2",505697500,-14284750,491412750,0,997110250
"316","1","2026082","20260810","20260814","33","1",57,-23,34,0,91
"316","1","2026082","20260810","20260814","33","2",236744450,-96008750,140735700,0,377480150
"316","1","2026082","20260810","20260814","41","1",0,0,0,0,0
"316","1","2026082","20260810","20260814","41","2",0,0,0,0,0
"316","1","2026082","20260810","20260814","51","1",10058,-758,9300,0,19358
"316","1","2026082","20260810","20260814","51","2",41666882300,-3159549000,38507333300,0,80174215600
"316","1","2026082","20260810","20260814","60","1",66930,0,67545,615,134475
"316","1","2026082","20260810","20260814","60","2",277705667200,0,280264119450,2558452250,557969786650
"335","1","2026082","20260810","20260814","11","1",0,0,0,0,0
"335","1","2026082","20260810","20260814","11","2",0,0,0,0,0
"335","1","2026082","20260810","20260814","21","1",0,0,0,0,0
"335","1","2026082","20260810","20260814","21","2",0,0,0,0,0
"335","1","2026082","20260810","20260814","22","1",0,0,0,0,0
"335","1","2026082","20260810","20260814","22","2",0,0,0,0,0
"335","1","2026082","20260810","20260814","23","1",0,0,0,0,0
"335","1","2026082","20260810","20260814","23","2",0,0,0,0,0
"335","1","2026082","20260810","20260814","24","1",0,0,0,0,0
"335","1","2026082","20260810","20260814","24","2",0,0,0,0,0
"335","1","2026082","20260810","20260814","31","1",0,0,0,0,0
"335","1","2026082","20260810","20260814","31","2",0,0,0,0,0
"335","1","2026082","20260810","20260814","32","1",0,0,0,0,0
"335","1","2026082","20260810","20260814","32","2",0,0,0,0,0
"335","1","2026082","20260810","20260814","33","1",0,0,0,0,0
"335","1","2026082","20260810","20260814","33","2",0,0,0,0,0
