"帳票種別 Product type","サイクル区分 Cycle","年月週 Year, Month, Week","報告年月日（自）Period covered - from","報告年月日（至）Period covered - to","投資部門コード Type of Investor","数量金額区分 Volume/Value","売 Sales","売-差引 Balance","買 Purchases","買-差引 Balance","合計 Total"
"301","1","2026084","20260824","20260828","11","1",13584,0,13991,407,27575
"301","1","2026084","20260824","20260828","11","2",895061699460,0,923276441170,28214741710,1818338140630
"301","1","2026084","20260824","20260828","21","1",1,0,1,0,2
"301","1","2026084","20260824","20260828","21","2",66000000,0,67000000,1000000,133000000
"301","1","2026084","20260824","20260828","22","1",78,0,393,315,471
"301","1","2026084","20260824","20260828","22","2",5124160000,0,26061500000,20937340000,31185660000
"301","1","2026084","20260824","20260828","23","1",2231,0,3181,950,5412
"301","1","2026084","20260824","20260828","23","2",147020183100,0,210621196620,63601013520,357641379720
"301","1","2026084","20260824","20260828","24","1",25,0,27,2,52
"301","1","2026084","20260824","20260828","24","2",1649360000,0,1783170000,133810000,3432530000
"301","1","2026084","20260824","20260828","31","1",534,0,785,251,1319
"301","1","2026084","20260824","20260828","31","2",35144427800,0,51931804400,16787376600,87076232200
"301","1","2026084","20260824","20260828","32","1",1731,-99,1632,0,3363
"301","1","2026084","20260824","20260828","32","2",114625661000,-6975199300,107650461700,0,222276122700
"301","1","2026084","20260824","20260828","33","1",184,-59,125,0,309
"301","1","2026084","20260824","20260828","33","2",12227850900,-3964990900,8262860000,0,20490710900
"301","1","2026084","20260824","20260828","41","1",0,0,0,0,0
"301","1","2026084","20260824","20260828","41","2",0,0,0,0,0
"301","1","2026084","20260824","20260828","51","1",9929,-91,9838,0,19767
"301","1","2026084","20260824","20260828","51","2",655420285500,-6713775000,648706510500,0,1304126796000
"301","1","2026084","20260824","20260828","60","1",93627,-1913,91714,0,185341
"301","1","2026084","20260824","20260828","60","2",6180188498471,-128133576506,6052054921965,0,12232243420436
"313","1","2026084","20260824","20260828","11","1",32494,0,43074,10580,75568
"313","1","2026084","20260824","20260828","11","2",214170476000,0,283236963120,69066487120,497407439120
"313","1","2026084","20260824","20260828","21","1",0,0,0,0,0
"313","1","2026084","20260824","20260828","21","2",0,0,0,0,0
"313","1","2026084","20260824","20260828","22","1",0,0,0,0,0
"313","1","2026084","20260824","20260828","22","2",0,0,0,0,0
"313","1","2026084","20260824","20260828","23","1",161,0,194,33,355
"313","1","2026084","20260824","20260828","23","2",1064783920,0,1283282550,218498630,2348066470
"313","1","2026084","20260824","20260828","24","1",0,0,0,0,0
"313","1","2026084","20260824","20260828","24","2",0,0,0,0,0
"313","1","2026084","20260824","20260828","31","1",109,0,128,19,237
"313","1","2026084","20260824","20260828","31","2",719860500,0,845690500,125830000,1565551000
"313","1","2026084","20260824","20260828","32","1",14275,-9,14266,0,28541
"313","1","2026084","20260824","20260828","32","2",94131858940,-72703480,94059155460,0,188191014400
"313","1","2026084","20260824","20260828","33","1",793,0,806,13,1599
"313","1","2026084","20260824","20260828","33","2",5229161490,0,5315406040,86244550,10544567530
"313","1","2026084","20260824","20260828","41","1",75,0,92,17,167
"313","1","2026084","20260824","20260828","41","2",494467500,0,607237000,112769500,1101704500
"313","1","2026084","20260824","20260828","51","1",483973,-741,483232,0,967205
"313","1","2026084","20260824","20260828","51","2",3192082205440,-5309910320,3186772295120,0,6378854500560
"313","1","2026084","20260824","20260828","60","1",1721805,-12003,1709802,0,3431607
"313","1","2026084","20260824","20260828","60","2",11354517479516,-78329947910,11276187531606,0,22630705011122
"331","1","2026084","20260824","20260828","11","1",0,0,0,0,0
"331","1","2026084","20260824","20260828","11","2",0,0,0,0,0
"331","1","2026084","20260824","20260828","21","1",0,0,0,0,0
"331","1","2026084","20260824","20260828","21","2",0,0,0,0,0
"331","1","2026084","20260824","20260828","22","1",0,0,0,0,0
"331","1","2026084","20260824","20260828","22","2",0,0,0,0,0
"331","1","2026084","20260824","20260828","23","1",0,0,0,0,0
"331","1","2026084","20260824","20260828","23","2",0,0,0,0,0
"331","1","2026084","20260824","20260828","24","1",0,0,0,0,0
"331","1","2026084","20260824","20260828","24","2",0,0,0,0,0
"331","1","2026084","20260824","20260828","31","1",0,0,0,0,0
"331","1","2026084","20260824","20260828","31","2",0,0,0,0,0
"331","1","2026084","20260824","20260828","32","1",6771,0,7103,332,13874
"331","1","2026084","20260824","20260828","32","2",4465760500,0,4686182350,220421850,9151942850
"331","1","2026084","20260824","20260828","33","1",2636,0,2648,12,5284
"331","1","2026084","20260824","20260828","33","2",1737801550,0,1745347900,7546350,3483149450
"331","1","2026084","20260824","20260828","41","1",0,0,0,0,0
"331","1","2026084","20260824","20260828","41","2",0,0,0,0,0
"331","1","2026084","20260824","20260828","51","1",1065755,-3517,1062238,0,2127993
"331","1","2026084","20260824","20260828","51","2",702922661750,-2454979450,700467682300,0,1403390344050
"331","1","2026084","20260824","20260828","60","1",2151287,0,2155691,4404,4306978
