"帳票種別 Product type","サイクル区分 Cycle","年月週 Year, Month, Week","報告年月日（自）Period covered - from","報告年月日（至）Period covered - to","投資部門コード Type of Investor","数量金額区分 Volume/Value","売 Sales","売-差引 Balance","買 Purchases","買-差引 Balance","合計 Total"
"301","1","2026092","20260907","20260911","11","1",161521,-7665,153856,0,315377
"301","1","2026092","20260907","20260911","11","2",10608472604728,-497865964807,10110606639921,0,20719079244649
"301","1","2026092","20260907","20260911","21","1",1820,0,1871,51,3691
"301","1","2026092","20260907","20260911","21","2",120896423892,0,124167929886,3271505994,245064353778
"301","1","2026092","20260907","20260911","22","1",2761,0,3494,733,6255
"301","1","2026092","20260907","20260911","22","2",182650527000,0,230948445000,48297918000,413598972000
"301","1","2026092","20260907","20260911","23","1",51271,-1876,49395,0,100666
"301","1","2026092","20260907","20260911","23","2",3369230266188,-124850770302,3244379495886,0,6613609762074
"301","1","2026092","20260907","20260911","24","1",57,0,71,14,128
"301","1","2026092","20260907","20260911","24","2",3742640000,0,4596428000,853788000,8339068000
"301","1","2026092","20260907","20260911","31","1",14597,0,14852,255,29449
"301","1","2026092","20260907","20260911","31","2",962643482400,0,978023730920,15380248520,1940667213320
"301","1","2026092","20260907","20260911","32","1",2171,-1146,1025,0,3196
"301","1","2026092","20260907","20260911","32","2",141493841900,-74952911500,66540930400,0,208034772300
"301","1","2026092","20260907","20260911","33","1",390,-72,318,0,708
"301","1","2026092","20260907","20260911","33","2",25340501800,-4693818000,20646683800,0,45987185600
"301","1","2026092","20260907","20260911","41","1",41,0,42,1,83
"301","1","2026092","20260907","20260911","41","2",2668261000,0,2732480000,64219000,5400741000
"301","1","2026092","20260907","20260911","51","1",15156,0,15914,758,31070
"301","1","2026092","20260907","20260911","51","2",986745217800,0,1035027202700,48281984900,2021772420500
"301","1","2026092","20260907","20260911","60","1",351234,0,359577,8343,710811
"301","1","2026092","20260907","20260911","60","2",22977731927385,0,23525768205756,548036278371,46503500133141
"313","1","2026092","20260907","20260911","11","1",68260,0,82922,14662,151182
"313","1","2026092","20260907","20260911","11","2",443708971706,0,540078848707,96369877001,983787820413
"313","1","2026092","20260907","20260911","21","1",0,0,0,0,0
"313","1","2026092","20260907","20260911","21","2",0,0,0,0,0
"313","1","2026092","20260907","20260911","22","1",0,0,0,0,0
